id,name,state,city,lat,lon
1240869466,Stanley Street Lunch Box,QLD,,-27.4871416,153.0406356
1014254385,Blu Point,VIC,,-37.808112,144.966208
12874522371,Made in DY,NSW,,-33.7531109,151.2873109
3676093460,Mocopan Airside,WA,,-31.940798,115.9741369
4100899364,The Beach House Providore,NSW,,-30.59267,153.0110032
11817594956,Bellisimo Coffee,QLD,,-27.3844684,153.1207132
11110962766,Scenic Milk Bar,QLD,,-27.9927354,152.6870517
1918162182,Relish,TAS,,-41.439196,147.1509597
8732792952,Let Minnow,QLD,,-27.4122246,153.0512585
7105939999,Baba Yaga,NSW,,-32.9320633,151.7713059
6442478861,blk.mlk Specialty Coffee,VIC,,-34.185188,142.1620149
12009553681,Café Arabica,QLD,,-27.5266432,153.2773061
12146295954,Starbucks,NSW,,-34.4861154,150.8873788
3529946830,White Rose Cafe,NSW,,-32.0163001,149.3965948
8140171913,Elk Espresso,QLD,,-28.0292004,153.4337712
4230108906,Plank Espresso,VIC,,-37.7303194,144.9285688
60788155,Unnamed cafe 60788155,NSW,,-33.6765027,151.0983316
13009961095,Coca Bar,QLD,,-26.6552352,153.0869789
10048389907,Little Parry,WA,,-32.0571538,115.8651197
13706926701,Tame Fox,NSW,,-33.4351031,151.3896167
11191850575,Hotel Cunnamulla Cafe,QLD,,-28.0683066,145.6829413
4041048216,Cafe Phố,VIC,,-37.9504575,145.1517421
5263246177,Waratah Cafe,NSW,,-34.4478544,147.5339453
11092652175,Kookabar Cafe,NSW,,-34.4787876,150.4188276
4469500129,Mica Express,QLD,,-27.3863329,153.1194877
12644710838,Nersons Cafe,NSW,,-35.2561564,149.4409292
10184715663,Miss Lacey Cafe and Wine Bar,VIC,,-37.7951579,145.2820116
11427816406,Pie Face,NSW,,-36.9310376,149.8746378
12876891952,Piccolo Me,NSW,,-33.8303831,151.2024727
1613917321,Two Fratelli,NSW,,-33.8629575,151.1950418
6471366438,Café 1909,VIC,,-34.1825374,142.1655933
5729370427,Gong Cha,NSW,,-33.7962444,151.1825018
6310669286,Sunrise Cafe,NSW,,-33.691583,151.3071368
7635724018,Piccolo Expresso,NSW,,-33.1091279,151.4865047
9503891217,Kitaya Cafe,NSW,,-33.7754524,151.1689538
8733324535,River & Roads Coffee Shop,QLD,,-22.5932786,144.5480998
3919497854,Number 10,TAS,,-42.7811246,147.0618937
11469973117,XS Espresso,NSW,,-33.8194279,151.0916017
12567363186,Cafe 63,QLD,,-27.4517568,153.0401751
6190630517,ChillBAR,NSW,,-33.7537533,151.2963896
4783697743,River Heads Cafe and Takeaway,QLD,,-25.422672,152.9170893
3298293637,Opal Cafe,SA,,-29.0091388,134.7549134
1166753990,David's Fresh,NSW,,-33.8670851,151.0839056
262262895,Unnamed cafe 262262895,QLD,,-27.4419167,152.9261985
4119542089,Strozzi,VIC,,-37.8167054,144.9630762
12987833963,Aisle Seventeen,VIC,,-37.7587648,145.0688624
10176914595,Waterfall Cafe,QLD,,-27.9532034,153.4250688
4639796785,Noonies,SA,,-34.8481297,138.4771271
13542002052,East Club Cafe,SA,,-34.9385971,138.6516421
13680802717,Espresso 2047,NSW,,-33.8521608,151.1553401
12228629398,Keppel Cafe,VIC,,-37.5106476,145.7445712
13594250890,Larder,VIC,,-36.714117,142.1991297
5379554512,Sip Coffee Bar,ACT,,-35.2784506,149.1308915
10727088792,Jas my Waffles,NSW,,-33.7709956,150.8437289
7617056936,Sweetshop Speciality Coffee,QLD,,-27.4636621,152.97952
12675190489,Unnamed cafe 12675190489,WA,,-32.1308876,116.0013016
4180095393,Avist Cafe,VIC,,-37.7983103,144.9528089
7729945714,Refuel Rylestone,NSW,,-32.7947772,149.9717185
13431736101,Cafe Ronto,NSW,,-33.5215846,151.3189945
3991310706,Touchwood,TAS,,-40.7607201,145.2959963
2082175202,Number 96,VIC,,-38.4013212,146.1603014
12777692514,Crib Lane,WA,,-31.9527478,115.8540197
8310220724,Little Jack Horner,NSW,,-33.9206149,151.2566204
1332942013,Espresso Train,QLD,,-27.4008153,153.0616894
10578237313,Leaf Cafe & Co Shell Cove,NSW,,-34.5878181,150.8662113
6403518245,Unnamed cafe 6403518245,QLD,,-27.4961615,153.2188482
4885485623,Zac's Bistro,QLD,,-27.4528042,153.0998461
10048393915,Kit Espresso,VIC,,-37.8146926,144.9638096
6760931486,Chalkboard,NSW,,-33.7562447,151.1535378
2134690318,Little Green Bean,NSW,,-33.9036929,151.2427407
12320039659,Hearth,TAS,,-42.8887561,147.3305944
5753317224,Public Coffee,NSW,,-33.8402393,151.2092875
10600782914,Source Kitchen,WA,,-34.446997,116.0305538
7134853562,Boost Juice,NSW,,-33.3736216,151.4732226
11981832868,LA Crema Caffe,QLD,,-22.0006167,148.0436998
6033562238,Upsize,VIC,,-37.7992772,144.8965347
9769256557,Coffee on Wyndham,TAS,,-42.7905268,147.2470021
11287403534,Phoenix Cafe,NSW,,-32.0474393,150.8679497
4501676689,Street Corner Espresso,QLD,,-28.081371,153.4470549
10203044987,You & M Tea Shop,QLD,,-27.9686646,153.413182
12898520560,Neighbourhood,NSW,,-33.8868069,151.2077471
1021383947,Unnamed cafe 1021383947,VIC,,-37.8788823,145.013273
12876271050,1770,NSW,,-34.0071818,151.2163091
11563081669,Remi Coffee Co.,QLD,,-19.2720205,146.7490969
5084749994,Blackstone cafe,ACT,,-35.3437175,149.1582185
9499898548,Unnamed cafe 9499898548,VIC,,-38.1321535,145.1758275
12229105167,Muffin Break,SA,,-37.8073265,140.7936831
7099110786,Frogs Kuranda,QLD,,-16.8192718,145.6328629
13571614738,Olive And Oregano,NSW,,-33.795306,151.0024606
9485543777,Alleycats Espresso,WA,,-31.8250346,115.73963
7149548668,Food Made By Hand,VIC,,-36.7277371,146.9609074
13159712751,Kafe Krave,QLD,,-27.4376287,153.0239273
5508666861,Good Times,VIC,,-37.8583019,145.0414058
7186894519,Unnamed cafe 7186894519,QLD,,-27.3468175,152.9692475
2630709698,Emmdale Roadhouse,NSW,,-31.6535047,144.2684322
